,fields
14113,m57q
4606,m57r
7320,m57s
17319,m57t
811,m57u
9556,m57v
20863,m57x
10653,m58
13265,m59
1517,m6
10514,m60
6825,m61
21126,m62
15224,m63
51,m64
1243,m65a
1188,m65b
1213,m65c
16681,m65d
19954,m65e
10370,m65f
9920,m65g
16609,m65h
7458,m65i
8429,m65j
20070,m65k
7559,m65l
8797,m65x
20462,m66
13236,m67
13968,m68
21566,m69
18689,m7
20497,m70
975,m71
2908,m72
18247,m73
2222,m74
6548,m75
7154,m76
8053,m77
19791,m78a
7163,m78b
9282,m78c
2087,m78d
6003,m78e
1743,m78f
2953,m78g
6143,m78h
19909,m78i
10326,m78j
13149,m8
19528,m9
8256,mea2
14400,mea2d
17929,mea2m
15137,mea2y
6181,mhb
9182,mhb1
17943,mhb2
17680,mhb3
19615,midx
21486,ml0
16658,ml1
591,ml101
15165,ml11
2485,ml12
10313,ml13a
19914,ml13aa
10023,ml13ab
6877,ml13b
2199,ml13c
11163,ml13d
10593,ml13da
9990,ml13e
13145,ml13f
14231,ml13g
3288,ml13h
11963,ml13i
8876,ml13j
4134,ml13k
669,ml13l
3160,ml13m
2092,ml13n
3447,ml13o
18814,ml13p
19842,ml13q
14311,ml13r
8436,ml13x
13522,ml13y
19606,ml13z
15511,ml14a
10536,ml14b
7768,ml14y
4506,ml14z
3626,ml15a
6443,ml15b
2230,ml15c
4062,ml16a
8497,ml16b
14502,ml16c
2548,ml17a
6541,ml17b
15618,ml17c
5364,ml18a
19254,ml18b
10184,ml18c
8651,ml19a
564,ml19b
19279,ml19c
14091,ml19d
13827,ml19e
16129,ml19f
5084,ml19x
17604,ml19y
15402,ml19z
10226,ml2
8369,ml20a
9143,ml20b
14315,ml20c
10454,ml21a
6647,ml21b
4274,ml21c
20279,ml22a
14873,ml22b
7254,ml22c
20773,ml23a
21424,ml23b
21322,ml23c
12371,ml24c
2360,ml25a
2847,ml25b
12914,ml25c
17025,ml26c
1477,mmidx2_01
12273,mmidx2_02
3632,mmidx2_03
19687,mmidx2_04
3450,mmidx2_05
